key,value,date
art&technology,2,01/01/12
art&technology,6,01/01/13
art&technology,8,01/01/14
art&technology,0,01/01/15
art&technology,0,01/01/16
art&technology,0,01/01/17
art&technology,0,01/01/18
prince,0,01/01/11
prince,0,01/01/12
prince,0,01/01/13
prince,0,01/01/14
prince,0,01/01/15
prince,2,01/01/16
prince,0,01/01/17
prince,0,01/01/18
visualization,0,01/01/11
visualization,1,01/01/12
visualization,0,01/01/13
visualization,0,01/01/14
visualization,1,01/01/15
visualization,1,01/01/16
visualization,0,01/01/17
visualization,0,01/01/18
etextiles,0,01/01/11
etextiles,0,01/01/12
etextiles,0,01/01/13
etextiles,0,01/01/14
etextiles,1,01/01/15
etextiles,0,01/01/16
etextiles,1,01/01/17
etextiles,0,01/01/18
collections,0,01/01/11
collections,0,01/01/12
collections,0,01/01/13
collections,0,01/01/14
collections,0,01/01/15
collections,2,01/01/16
collections,0,01/01/17
collections,0,01/01/18
depthkit,0,01/01/11
depthkit,0,01/01/12
depthkit,0,01/01/13
depthkit,0,01/01/14
depthkit,1,01/01/15
depthkit,1,01/01/16
depthkit,0,01/01/17
depthkit,0,01/01/18
infographics,2,01/01/11
infographics,5,01/01/12
infographics,18,01/01/13
infographics,0,01/01/14
infographics,0,01/01/15
infographics,0,01/01/16
infographics,0,01/01/17
infographics,0,01/01/18
blprnt,0,01/01/11
blprnt,3,01/01/12
blprnt,0,01/01/13
blprnt,0,01/01/14
blprnt,0,01/01/15
blprnt,0,01/01/16
blprnt,0,01/01/17
blprnt,0,01/01/18
journalism,0,01/01/11
journalism,0,01/01/12
journalism,0,01/01/13
journalism,0,01/01/14
journalism,2,01/01/15
journalism,0,01/01/16
journalism,28,01/01/17
journalism,0,01/01/18
localprojects,0,01/01/11
localprojects,3,01/01/12
localprojects,0,01/01/13
localprojects,0,01/01/14
localprojects,1,01/01/15
localprojects,0,01/01/16
localprojects,0,01/01/17
localprojects,0,01/01/18
processing,3,01/01/11
processing,6,01/01/12
processing,0,01/01/13
